Group,Name,rows,cols,nnz,est_flops
Hamm,scircuit,170998,170998,958936,5377597
QY,case39,40216,40216,1042160,27006601
Mycielski,mycielskian13,6143,6143,1227742,245376920
Williams,mac_econ_fwd500,206500,206500,1273389,7852395
Norris,heart1,3557,3557,1385317,539528589
Nemeth,nemeth24,9506,9506,1506550,238764244
Nemeth,nemeth23,9506,9506,1506810,238846663
Nemeth,nemeth25,9506,9506,1511758,240417868
Nemeth,nemeth26,9506,9506,1511760,240418504
Simon,appu,14000,14000,1853104,245285317
QCD,conf5_4-8x8-05,49152,49152,1916928,74760192
GHS_psdef,opt1,15449,15449,1930655,241273139
IPSO,TSC_OPF_1047,8140,8140,2012833,497726866
Williams,mc2depi,525825,525825,2100225,8388618
GHS_indef,exdata_1,6001,6001,2269500,858295326
Bova,rma10,46835,46835,2329092,115825121
Chen,pkustk07,16860,16860,2418804,347011435
DIMACS10,vsp_msc10848_300sep_100in_1Kout,21996,21996,2442056,271123727
DNVS,tsyl201,20685,20685,2454957,291361560
Williams,cop20k_A,121192,121192,2624331,56828117
GHS_psdef,ramage02,16830,16830,2866352,488174319
TSOPF,TSOPF_RS_b300_c2,28338,28338,2943887,305825064
Williams,webbase-1M,1000005,1000005,3105536,9644306
Andrianov,net150,43520,43520,3121200,223848562
FEMLAB,sme3Dc,42930,42930,3148656,230934885
Rothberg,3dtube,45330,45330,3213618,227825737
Chen,pkustk08,22209,22209,3226671,468792190
ND,nd3k,9000,9000,3279690,1195151833
DNVS,shipsec1,140874,140874,3568176,90377784
Mycielski,mycielskian14,12287,12287,3695512,1111484410
TKK,smt,25710,25710,3749582,546844231
Raju,laminar_duct3D,67173,67173,3788857,213708445
DNVS,ship_001,34920,34920,3896496,434784682
Williams,cant,62451,62451,4007383,257147500
DIMACS10,vsp_bcsstk30_500sep_10in_1Kout,58348,58348,4033156,278781575
Chen,pkustk04,55590,55590,4218660,320149167
Gupta,gupta2,62064,62064,4248286,290795533
Chen,pkustk10,80676,80676,4308984,230147046
Williams,pdb1HYS,36417,36417,4344765,518356342
Oberwolfach,t3dh_a,79171,79171,4352105,239239342
Oberwolfach,t3dh_e,79171,79171,4352105,239239342
Oberwolfach,t3dh,79171,79171,4352105,239239342
TSOPF,TSOPF_RS_b678_c1,18696,18696,4396289,1033769628
TSOPF,TSOPF_FS_b300,29214,29214,4400122,662732718
TSOPF,TSOPF_FS_b300_c1,29214,29214,4400122,662732718
TSOPF,TSOPF_RS_b300_c3,42138,42138,4413449,462255733
GHS_psdef,s3dkq4m2,90449,90449,4427725,216749203
DNVS,thread,29736,29736,4444880,664412100
DIMACS10,kron_g500-logn16,65536,65536,4912469,368230464
PARSEC,Si34H36,97569,97569,5156379,272507091
Chen,pkustk11,87804,87804,5217912,310083887
Koutsovasilis,F2,71505,71505,5294285,391992919
Muite,Chebyshev4,68121,68121,5377761,424543289
Oberwolfach,boneS01,127224,127224,5516602,239207206
PARSEC,Ga3As3H12,61349,61349,5970947,581137559
Williams,consph,83334,83334,6010480,433506970
PARSEC,Ga10As10H30,113081,113081,6115633,330744926
Guettel,TEM152078,152078,152078,6459326,274351927
Chen,pkustk13,94893,94893,6616827,461387031
TSOPF,TSOPF_RS_b2052_c1,25626,25626,6761100,1783831781
Schenk_ISEI,ohne2,181343,181343,6869939,260258526
ND,nd6k,18000,18000,6897316,2642942667
GHS_psdef,bmw7st_1,141347,141347,7318399,378918293
Chen,pkustk12,94653,94653,7512317,596229456
PARSEC,CO,221119,221119,7666057,265777387
Guettel,TEM181302,181302,181302,7839010,338937672
PARSEC,Ge87H76,112985,112985,7892195,551283285
Fluorem,PR02R,161070,161070,8185136,415946181
PARSEC,Ge99H100,112985,112985,8451395,632173098
Norris,torso1,116158,116158,8516500,624414782
DNVS,x104,108384,108384,8713602,700535686
TSOPF,TSOPF_FS_b300_c2,56814,56814,8767466,1352984477
TSOPF,TSOPF_RS_b678_c2,35696,35696,8781949,2160539787
PARSEC,Ga19As19H42,133123,133123,8884839,592988169
Rothberg,gearbox,153746,153746,9080404,536298419
Gupta,gupta3,16783,16783,9323427,5179425074
Andrianov,pattern1,19242,19242,9323432,4517533742
VLSI,test1,392908,392908,9447535,227167473
DNVS,m_t1,97578,97578,9753570,974934183
GHS_psdef,hood,220542,220542,9895422,443994235
DIMACS10,kron_g500-logn17,131072,131072,10228360,798182284
Andrianov,mip1,66463,66463,10352819,1612639532
GHS_psdef,crankseg_1,52804,52804,10614210,2133578023
GHS_psdef,bmwcra_1,148770,148770,10641602,761199792
PARSEC,Si87H76,240369,240369,10661631,472899482
Mycielski,mycielskian15,24575,24575,11111110,5023673059
PARSEC,SiO2,155331,155331,11283503,819652484
GHS_indef,bmw3_2,227362,227362,11288630,560485777
DNVS,fcondp2,201822,201822,11294316,632049895
Kim,kim2,456976,456976,11330020,280910492
Boeing,pwtk,217918,217918,11524432,609461049
DNVS,fullb,199187,199187,11708077,688192839
DNVS,troll,213453,213453,11985111,672948545
DNVS,halfb,224617,224617,12387821,683198997
Sinclair,3Dspectralwave2,292008,292008,12935272,573002321
TSOPF,TSOPF_FS_b300_c3,84414,84414,13135930,2044123688
BenElechi,BenElechi1,245874,245874,13150496,703350273
GHS_psdef,crankseg_2,63838,63838,14148858,3135909375
ND,nd12k,36000,36000,14220946,5617647365
Chen,pkustk14,151926,151926,14836504,1448875446
SNAP,higgs-twitter,456626,456626,14855842,483319043
PARSEC,Si41Ge41H72,185639,185639,15011265,1213850952
