Matrix,n(A),nnz(A),TileSpGEMM_ms,TileSpGEMM_GFlops,GPU_SPGEMM_ms,GPU_SPGEMM_GFlops,Speedup_GPUvsTile
pdb1HYS,36417,4344765,28.64,38.78,5.38,206.37,5.32x
consph,83334,6010480,19.07,48.65,8.96,103.56,2.13x
cant,62451,4007383,10.86,49.65,4.89,110.22,2.22x
pwtk,217918,11634424,24.69,50.71,6.96,179.98,3.55x
rma10,46835,2374001,9.58,32.67,2.92,107.17,3.28x
conf5_4-8x8-05,49152,1916928,5.97,25.05,2.60,57.42,2.30x
shipsec1,140874,7813404,20.72,43.50,7.33,122.90,2.83x
mac_econ_fwd500,206500,1273389,9.57,1.58,6.13,2.46,1.56x
mc2depi,525825,2100225,DNF,-,3.24,5.18,-
cop20k_A,121192,2624331,57.75,2.77,45.19,3.54,1.28x
scircuit,170998,958936,9.09,1.91,5.55,3.13,1.64x
webbase-1M,1000005,3105536,DNF,-,14.50,9.59,-
af_shell10,1508065,52672325,DNF,-,timeout(CPU verify),-,-
pkustk12,94893,7512317,100.97,53.09,43.70,122.67,2.31x
SiO2,155331,11283503,448.39,63.61,184.84,154.31,2.43x
case39,40216,1042160,85.90,94.26,33.49,241.79,2.56x
TSOPF_FS_b300_c2,56814,16325943,817.79,131.93,127.61,845.50,6.41x
gupta3,16783,9323427,781.88,78.57,2.01,30605.30,388.99x
