Matrix,n,nnz,flops,Tile_preprocess_ms,Tile_step1_ms,Tile_step2_ms,Tile_step3_ms,Tile_malloc_ms,Tile_total_ms,Tile_GFlops,GPU_step1_ms,GPU_step2_ms,GPU_step3_ms,GPU_total_ms,GPU_GFlops,Speedup
3Dspectralwave,680943,33650589,1994630673,252.55,7.78,61.82,174.58,1.45,245.7,16.24,2.95,13.36,32.1,48.41,20.78,5.08x
3Dspectralwave2,292008,14322744,841238568,118.08,9.16,26.41,72.85,1.14,109.63,15.35,1.19,5.8,13.41,20.4,20.75,5.37x
3dtube,45330,3213618,299381624,65.95,1.12,1.33,14.77,0.83,18.1,33.09,0.87,1.11,4.12,6.09,98.29,2.97x
BenElechi1,245874,13150496,705555870,137.04,1.25,0.98,19.4,0.84,22.51,62.68,0.94,0.78,4.61,6.33,222.94,3.56x
Bump_2911,2911419,127729899,5745156927,491.22,6.25,48.03,165.33,1.38,221.03,51.98,0.75,0.1,0.03,0.88,12995.74,251.17x
CO,221119,7666057,276737749,179.27,1.59,14.1,28.21,1.06,45.01,12.3,1.3,10.95,20.41,32.65,16.95,1.38x
Chebyshev4,68121,5377761,277056025,1926.68,4.64,3.91,15.62,0.87,25.08,22.09,4.56,4.04,5.38,13.98,39.63,1.79x
CoupCons3D,416800,22322336,1227203968,231.15,1.81,4.32,37.76,0.93,44.87,54.7,1.38,2.94,12.67,16.99,144.47,2.64x
Cube_Coup_dt0,2164760,127206144,7518203008,453.37,4.3,29.21,163.9,1.49,198.95,75.58,0.67,0.09,0.04,0.8,18772.23,248.69x
Cube_Coup_dt6,2164760,127206144,7518203008,370.86,4.3,29.1,163.82,1.47,198.76,75.65,0.63,0.1,0.03,0.75,19956.16,265.01x
CurlCurl_4,2380515,26515867,297096317,262.06,3.2,15.53,33.43,1.22,53.45,11.12,0.68,0.09,0.04,0.8,739.49,66.81x
Emilia_923,923136,41005206,1834209036,350.59,3.94,24.87,65.81,1.14,95.81,38.29,5.6,18.24,47.31,71.15,51.56,1.35x
F1,343791,26837113,2667510665,335.08,72.01,129.44,136.34,2.92,340.78,15.66,4.52,102.32,105.57,212.42,25.12,1.60x
F2,71505,5294285,492807103,207.46,1.85,16.15,31.24,0.99,50.28,19.6,1.43,12.35,17.09,30.87,31.93,1.63x
Fault_639,638802,28614564,1298780298,272.47,3.23,18.01,44.96,1.09,67.34,38.58,2.6,11.94,30.06,44.6,58.24,1.51x
Flan_1565,1564794,117406044,9013434840,369.35,3.92,22.64,182.28,1.24,210.14,85.78,18.84,19.09,110.01,147.93,121.86,1.42x
FullChip,2987012,26621990,9751394287841,,,,,,,,0.74,0.09,0.03,0.87,22503494.41,
Ga10As10H30,113081,6115633,1098110645,101.55,1.81,15.43,54.65,1.04,72.99,30.09,1.33,11.65,26.66,39.64,55.41,1.84x
Ga19As19H42,133123,8884839,2010298639,299.69,1.92,24.27,86.07,1.0,113.31,35.48,1.52,19.49,45.14,66.16,60.77,1.71x
Ga3As3H12,61349,5970947,3677546507,121.22,1.76,17.62,134.41,0.93,154.76,47.52,1.51,14.18,45.05,60.73,121.1,2.55x
Ga41As41H72,268096,18488476,4252622992,242.81,5.85,51.8,171.61,1.12,230.43,36.91,2.28,42.49,100.83,145.6,58.42,1.58x
Ge87H76,112985,7892195,1469531179,183.73,1.9,23.33,84.62,1.03,110.93,26.49,1.4,18.93,40.2,60.53,48.55,1.83x
Ge99H100,112985,8451395,1642015363,173.92,1.83,25.85,91.36,1.02,120.11,27.34,1.5,20.91,43.95,66.36,49.49,1.81x
Geo_1438,1437960,63156690,2801728386,406.07,4.95,34.85,93.06,1.27,134.2,41.76,16.95,23.79,66.98,107.72,52.02,1.25x
Hook_1498,1498023,60917445,2768898411,489.21,5.05,37.48,92.87,1.26,136.71,40.51,18.15,25.89,65.72,109.75,50.46,1.25x
Long_Coup_dt0,1470152,87088992,5224243712,320.39,4.68,30.82,114.37,1.28,151.21,69.1,17.18,20.01,64.16,101.35,103.1,1.49x
Long_Coup_dt6,1470152,87088992,5224243712,320.08,4.68,30.76,115.89,1.24,152.62,68.46,17.16,20.08,64.14,101.38,103.06,1.51x
ML_Geer,1504002,110879972,8183887848,317.75,3.35,12.03,176.15,1.15,192.73,84.92,16.97,11.2,76.51,104.68,156.37,1.84x
ML_Laplace,377002,27689972,2038451848,288.34,1.67,3.26,47.71,0.92,53.6,76.06,1.27,2.91,19.14,23.31,174.87,2.30x
PFlow_742,742793,37138461,2153163125,147.07,2.3,6.7,53.19,1.01,63.25,68.09,3.15,6.7,36.23,46.08,93.44,1.37x
PR02R,161070,8185136,471911391,116.06,1.13,1.28,18.47,0.83,21.75,43.39,0.85,1.08,4.92,6.85,137.72,3.18x
Queen_4147,4147110,329499284,26346406576,1216.81,9.06,82.02,579.32,1.71,672.17,78.39,0.74,0.09,0.04,0.87,60607.69,772.61x
RM07R,381689,37464962,5272142064,243.56,4.01,24.18,132.82,1.12,162.19,65.01,1.87,19.42,68.55,89.84,117.36,1.81x
Serena,1391349,64531701,3111966351,547.35,5.63,45.3,111.0,1.32,163.32,38.11,16.44,33.47,75.77,125.68,49.52,1.30x
Si34H36,97569,5156379,736154859,98.69,1.54,13.61,42.36,1.0,58.57,25.14,1.19,10.1,21.52,32.81,44.88,1.79x
Si41Ge41H72,185639,15011265,4206695551,231.0,2.17,43.33,175.55,1.09,222.19,37.87,1.87,35.07,86.87,123.82,67.95,1.79x
Si87H76,240369,10661631,851575071,155.33,1.89,24.89,59.8,1.13,87.77,19.4,1.75,19.8,38.21,59.77,28.5,1.47x
SiO2,155331,11283503,14261280271,374.28,2.68,31.03,400.62,1.02,435.4,65.51,2.27,25.89,156.12,184.28,154.78,2.36x
