Matrix,Tile_fp64_ms,GPU_fp32_ms,GPU_fp64_ms,Speedup_fp64vsTile,Speedup_fp32vsTile,fp32_vs_fp64
3Dspectralwave,245.7,48.41,76.94,3.19x,5.08x,1.59x
3Dspectralwave2,109.63,20.4,32.36,3.39x,5.37x,1.59x
3dtube,18.1,6.09,8.74,2.07x,2.97x,1.44x
BenElechi1,22.51,6.33,10.78,2.09x,3.56x,1.70x
Bump_2911,221.03,0.88,0.86,257.01x,251.17x,0.98x
CO,45.01,32.65,50.19,0.90x,1.38x,1.54x
Chebyshev4,25.08,13.98,18.26,1.37x,1.79x,1.31x
CoupCons3D,44.87,16.99,27.66,1.62x,2.64x,1.63x
Cube_Coup_dt0,198.95,0.8,0.77,258.38x,248.69x,0.96x
Cube_Coup_dt6,198.76,0.75,0.77,258.13x,265.01x,1.03x
CurlCurl_4,53.45,0.8,0.79,67.66x,66.81x,0.99x
Emilia_923,95.81,71.15,111.96,0.86x,1.35x,1.57x
F1,340.78,212.42,270.87,1.26x,1.60x,1.28x
F2,50.28,30.87,41.5,1.21x,1.63x,1.34x
Fault_639,67.34,44.6,70.58,0.95x,1.51x,1.58x
Flan_1565,210.14,147.93,251.8,0.83x,1.42x,1.70x
FullChip,,0.87,0.86,,,0.99x
Ga10As10H30,72.99,39.64,63.26,1.15x,1.84x,1.60x
Ga19As19H42,113.31,66.16,106.4,1.06x,1.71x,1.61x
Ga3As3H12,154.76,60.73,101.31,1.53x,2.55x,1.67x
Ga41As41H72,230.43,145.6,237.09,0.97x,1.58x,1.63x
Ge87H76,110.93,60.53,95.5,1.16x,1.83x,1.58x
Ge99H100,120.11,66.36,104.4,1.15x,1.81x,1.57x
Geo_1438,134.2,107.72,165.1,0.81x,1.25x,1.53x
Hook_1498,136.71,109.75,167.07,0.82x,1.25x,1.52x
Long_Coup_dt0,151.21,101.35,153.66,0.98x,1.49x,1.52x
Long_Coup_dt6,152.62,101.38,153.69,0.99x,1.51x,1.52x
ML_Geer,192.73,104.68,171.36,1.12x,1.84x,1.64x
ML_Laplace,53.6,23.31,40.01,1.34x,2.30x,1.72x
PFlow_742,63.25,46.08,77.85,0.81x,1.37x,1.69x
PR02R,21.75,6.85,11.35,1.92x,3.18x,1.66x
Queen_4147,672.17,0.87,0.88,763.83x,772.61x,1.01x
RM07R,162.19,89.84,160.42,1.01x,1.81x,1.79x
Serena,163.32,125.68,190.73,0.86x,1.30x,1.52x
Si34H36,58.57,32.81,51.63,1.13x,1.79x,1.57x
Si41Ge41H72,222.19,123.82,202.98,1.09x,1.79x,1.64x
Si87H76,87.77,59.77,93.5,0.94x,1.47x,1.56x
SiO2,435.4,184.28,394.33,1.10x,2.36x,2.14x
StocF-1465,84.56,76.98,104.72,0.81x,1.10x,1.36x
TEM152078,22.35,11.4,17.36,1.29x,1.96x,1.52x
TEM181302,27.16,14.11,21.32,1.27x,1.92x,1.51x
TSC_OPF_1047,48.16,5.89,7.83,6.15x,8.18x,1.33x
TSOPF_FS_b300,1043.46,37.84,56.61,18.43x,27.58x,1.50x
TSOPF_FS_b300_c1,1032.22,37.85,56.55,18.25x,27.27x,1.49x
TSOPF_FS_b300_c2,847.48,127.83,213.89,3.96x,6.63x,1.67x
TSOPF_FS_b300_c3,1578.19,275.43,514.62,3.07x,5.73x,1.87x
TSOPF_RS_b2052_c1,11.05,2.41,2.86,3.86x,4.59x,1.19x
TSOPF_RS_b2383,20.47,4.39,5.65,3.62x,4.66x,1.29x
TSOPF_RS_b2383_c1,21.03,4.41,5.64,3.73x,4.77x,1.28x
TSOPF_RS_b300_c2,8.45,1.39,1.7,4.97x,6.08x,1.22x
TSOPF_RS_b300_c3,10.53,1.73,2.16,4.87x,6.09x,1.25x
TSOPF_RS_b678_c1,10.67,1.75,2.1,5.08x,6.10x,1.20x
TSOPF_RS_b678_c2,16.08,2.74,3.33,4.83x,5.87x,1.22x
Transport,35.64,0.81,0.85,41.93x,44.00x,1.05x
af_0_k101,26.7,9.23,15.75,1.70x,2.89x,1.71x
af_1_k101,26.54,9.09,15.74,1.69x,2.92x,1.73x
af_2_k101,27.31,9.21,15.73,1.74x,2.97x,1.71x
af_3_k101,26.79,9.12,15.76,1.70x,2.94x,1.73x
af_4_k101,26.47,9.11,15.73,1.68x,2.91x,1.73x
af_5_k101,26.78,9.11,15.74,1.70x,2.94x,1.73x
af_shell1,24.29,9.24,15.93,1.52x,2.63x,1.72x
af_shell10,71.32,39.08,59.13,1.21x,1.82x,1.51x
af_shell2,23.86,9.16,15.95,1.50x,2.60x,1.74x
af_shell3,24.06,9.17,15.92,1.51x,2.62x,1.74x
af_shell4,24.65,9.16,15.95,1.55x,2.69x,1.74x
af_shell5,24.56,9.15,15.95,1.54x,2.68x,1.74x
af_shell6,24.27,9.14,15.92,1.52x,2.66x,1.74x
af_shell7,24.14,9.16,15.96,1.51x,2.64x,1.74x
af_shell8,24.71,9.15,15.93,1.55x,2.70x,1.74x
af_shell9,23.95,9.15,15.95,1.50x,2.62x,1.74x
appu,385.32,256.35,324.71,1.19x,1.50x,1.27x
arabic-2005,,,0.98,,,
as-Skitter,,0.89,0.84,,,0.94x
audikw_1,344.13,205.92,325.41,1.06x,1.67x,1.58x
bmw3_2,28.21,10.71,16.99,1.66x,2.63x,1.59x
bmw7st_1,22.87,7.16,11.09,2.06x,3.19x,1.55x
bmwcra_1,34.52,15.91,25.57,1.35x,2.17x,1.61x
bone010,132.64,89.31,160.59,0.83x,1.49x,1.80x
boneS01,16.16,8.37,14.05,1.15x,1.93x,1.68x
boneS10,96.92,66.04,118.42,0.82x,1.47x,1.79x
