Matrix,Tile_preprocess,Tile_step1,Tile_step2,Tile_step3,Tile_malloc,Tile_total,Tile_GFlops,GPU_step1,GPU_step2,GPU_step3,GPU_total,GPU_GFlops
pdb1HYS,42.66,10.38,1.15,24.42,1.43,37.43,29.67,0.74,0.83,3.81,5.38,206.37
consph,59.08,1.49,2.2,17.61,2.17,23.52,39.44,0.84,1.64,6.48,8.96,103.56
cant,53.98,1.16,0.7,10.88,1.33,14.1,38.23,0.72,0.61,3.56,4.89,110.22
pwtk,72.98,1.53,1.1,24.68,1.82,29.18,42.92,0.92,0.88,5.16,6.96,179.98
rma10,68.13,1.17,0.53,9.01,0.97,11.72,26.7,0.73,0.54,1.64,2.92,107.17
conf5_4-8x8-05,27.51,1.36,0.68,4.18,1.41,7.68,19.47,0.76,0.54,1.31,2.6,57.42
shipsec1,42.91,1.46,2.08,17.81,1.83,23.23,38.8,0.88,1.6,4.86,7.33,122.9
mac_econ_fwd500,31.55,1.58,3.82,5.27,1.85,12.56,2.48,0.95,2.46,2.72,6.13,2.46
mc2depi,53.86,2.36,1.28,1.07,1.82,6.57,2.55,1.56,0.75,0.93,3.24,5.18
cop20k_A,59.14,3.31,34.26,20.81,2.06,60.51,2.64,1.98,26.01,17.21,45.19,3.54
scircuit,19.24,1.78,3.37,3.19,1.92,10.3,1.68,1.08,2.3,2.18,5.55,3.13
webbase-1M,110.52,26.47,33.66,68.53,2.96,131.68,20.8,5.85,4.4,4.25,14.5,9.59
af_shell10,182.6,3.45,4.29,75.07,1.98,84.83,43.4,,,,,
pkustk12,72.82,2.81,17.2,104.26,2.18,126.49,42.38,2.15,11.64,29.91,43.7,122.67
SiO2,206.46,3.22,37.57,408.74,1.97,451.54,63.17,2.21,26.31,156.32,184.84,154.31
case39,126.54,2.31,5.94,95.29,2.18,105.79,76.54,1.6,3.49,28.4,33.49,241.79
TSOPF_FS_b300_c2,615.64,3.09,50.41,843.27,2.36,899.18,119.99,2.34,15.06,110.21,127.61,845.5
gupta3,546.47,2.68,56.22,871.0,2.12,932.07,65.91,2.01,0.0,0.0,2.01,30605.3
