Matrix,TileSpGEMM_ms,GPU_SPGEMM_fp64_ms,cuSPARSE_ms
3Dspectralwave,245.7,76.94,
3Dspectralwave2,109.63,32.36,
3dtube,18.1,8.74,26.24
BenElechi1,22.51,10.78,55.1
Bump_2911,221.03,0.86,
CO,45.01,50.19,43.35
Chebyshev4,25.08,18.26,61.78
CoupCons3D,44.87,27.66,104.04
Cube_Coup_dt0,198.95,0.77,
Cube_Coup_dt6,198.76,0.77,
CurlCurl_4,53.45,0.79,15.54
Emilia_923,95.81,111.96,193.0
F1,340.78,270.87,
F2,50.28,41.5,34.58
Fault_639,67.34,70.58,134.69
Flan_1565,210.14,251.8,
FullChip,,0.86,
Ga10As10H30,72.99,63.26,115.64
Ga19As19H42,113.31,106.4,211.53
Ga3As3H12,154.76,101.31,
Ga41As41H72,230.43,237.09,
Ge87H76,110.93,95.5,140.24
Ge99H100,120.11,104.4,154.6
Geo_1438,134.2,165.1,
Hook_1498,136.71,167.07,
Long_Coup_dt0,151.21,153.66,
Long_Coup_dt6,152.62,153.69,
ML_Geer,192.73,171.36,
ML_Laplace,53.6,40.01,123.54
PFlow_742,63.25,77.85,
PR02R,21.75,11.35,35.72
Queen_4147,672.17,0.88,
RM07R,162.19,160.42,
Serena,163.32,190.73,
Si34H36,58.57,51.63,71.63
Si41Ge41H72,222.19,202.98,
Si87H76,87.77,93.5,84.73
SiO2,435.4,394.33,
StocF-1465,84.56,104.72,16.14
TEM152078,22.35,17.36,32.85
TEM181302,27.16,21.32,39.92
TSC_OPF_1047,48.16,7.83,194.15
TSOPF_FS_b300,1043.46,56.61,
TSOPF_FS_b300_c1,1032.22,56.55,
TSOPF_FS_b300_c2,847.48,213.89,
TSOPF_FS_b300_c3,1578.19,514.62,
TSOPF_RS_b2052_c1,11.05,2.86,9.95
TSOPF_RS_b2383,20.47,5.65,21.53
TSOPF_RS_b2383_c1,21.03,5.64,21.51
TSOPF_RS_b300_c2,8.45,1.7,4.47
TSOPF_RS_b300_c3,10.53,2.16,6.43
TSOPF_RS_b678_c1,10.67,2.1,5.84
TSOPF_RS_b678_c2,16.08,3.33,11.23
Transport,35.64,0.85,17.8
af_0_k101,26.7,15.75,29.46
af_1_k101,26.54,15.74,29.44
af_2_k101,27.31,15.73,29.53
af_3_k101,26.79,15.76,29.46
af_4_k101,26.47,15.73,29.53
af_5_k101,26.78,15.74,29.52
af_shell1,24.29,15.93,29.51
af_shell10,71.32,59.13,87.99
af_shell2,23.86,15.95,29.63
af_shell3,24.06,15.92,29.52
af_shell4,24.65,15.95,29.55
af_shell5,24.56,15.95,29.55
af_shell6,24.27,15.92,29.5
af_shell7,24.14,15.96,29.53
af_shell8,24.71,15.93,29.51
af_shell9,23.95,15.95,29.56
appu,385.32,324.71,46.18
arabic-2005,,0.98,
as-Skitter,,0.84,
audikw_1,344.13,325.41,
bmw3_2,28.21,16.99,49.5
bmw7st_1,22.87,11.09,32.78
bmwcra_1,34.52,25.57,51.17
bone010,132.64,160.59,
boneS01,16.16,14.05,30.85
boneS10,96.92,118.42,
bundle_adj,655.34,35.06,
cage14,187.27,223.02,81.88
cage15,796.77,0.78,339.33
cant,11.16,7.65,18.77
case39,86.61,40.42,
channel-500x100x100-b050,154.89,0.76,72.41
circuit5M,,0.8,
coPapersCiteseer,528.78,355.55,
coPapersDBLP,1086.62,332.23,
com-LiveJournal,,0.88,
com-Orkut,,,
conf5_4-8x8-05,5.85,3.69,
consph,17.36,14.67,28.37
cop20k_A,56.16,54.08,
crankseg_1,110.14,59.83,
crankseg_2,156.11,88.77,
delaunay_n23,149.73,0.97,19.3
delaunay_n24,323.69,0.97,38.95
dgreen,,96.58,196.78
dielFilterV2clx,179.63,186.14,
dielFilterV2real,383.86,406.14,
dielFilterV3clx,372.35,331.4,
dielFilterV3real,1053.38,287.91,
eu-2005,248.35,213.27,
europe_osm,,0.98,
exdata_1,100.96,12.82,
fcondp2,27.51,12.38,49.05
fem_hifreq_circuit,141.78,126.21,
fullb,32.28,18.4,54.32
gearbox,22.15,15.71,40.03
gsm_106857,,21.0,119.97
gupta2,323.68,1.81,
gupta3,946.8,2.04,
halfb,32.81,15.25,55.94
heart1,41.4,8.42,63.78
higgs-twitter,,44.2,
hollywood-2009,,434.46,
hood,27.62,18.55,51.0
human_gene1,4297.71,4566.29,
human_gene2,2221.49,2091.17,
in-2004,105.85,55.37,
indochina-2004,5626.84,0.77,
inline_1,180.78,168.96,
kim2,14.49,16.93,
kmer_A2a,,,
kmer_P1a,,,
kmer_U1a,,0.99,
kmer_V1r,,,
kmer_V2a,,1.0,
kron_g500-logn16,8050.17,7350.43,
kron_g500-logn17,42532.04,9452.12,
kron_g500-logn18,62838.26,350.47,
kron_g500-logn19,,1097.08,
kron_g500-logn20,,,
kron_g500-logn21,,,
laminar_duct3D,12.85,10.59,19.61
ldoor,92.51,75.92,
ljournal-2008,,0.78,
m_t1,32.73,17.14,55.7
mac_econ_fwd500,9.3,8.28,0.97
mawi_201512020030,,1.0,
mawi_201512020130,,1.03,
mawi_201512020330,,1.07,
mc2depi,4.5,3.85,0.85
mip1,494.98,32.09,
mouse_gene,14451.95,13736.7,
msdoor,48.7,35.9,94.8
mycielskian13,59.22,1.05,107.54
mycielskian14,205.0,2.0,
mycielskian15,895.71,4.75,
mycielskian16,867.16,774.13,
mycielskian17,3354.81,2162.24,
mycielskian18,16944.63,202.0,
mycielskian19,,,
nd12k,167.82,83.84,
nd24k,315.74,172.35,
nd3k,48.65,19.84,134.73
nd6k,84.38,39.28,
nemeth23,18.77,2.58,12.52
nemeth24,16.27,2.65,12.69
nemeth25,18.25,2.64,12.81
nemeth26,15.9,2.66,12.8
net150,53.61,43.61,57.79
nlpkkt120,151.61,0.86,
nlpkkt160,393.14,0.79,
nlpkkt200,693.13,1.0,
nlpkkt240,,,
nlpkkt80,61.06,65.79,130.15
nv2,,,286.55
ohne2,116.53,107.67,61.49
opt1,14.68,4.65,15.54
packing-500x100x100-b050,64.55,0.78,27.01
pattern1,427.47,6.02,
pdb1HYS,24.54,8.63,31.66
pkustk04,54.05,27.78,130.76
pkustk07,32.53,21.32,28.26
pkustk08,40.48,23.6,37.74
pkustk10,12.99,6.89,18.56
pkustk11,21.45,11.32,25.03
pkustk12,98.0,66.63,
pkustk13,37.72,28.51,35.72
pkustk14,77.97,55.54,114.25
pwtk,24.95,11.81,48.99
ramage02,26.37,9.69,37.58
rgg_n_2_21_s0,1401.98,0.78,19.84
rgg_n_2_22_s0,4378.42,0.78,42.62
rgg_n_2_23_s0,18904.57,0.98,93.16
rgg_n_2_24_s0,,,
rma10,10.91,4.34,10.85
s3dkq4m2,11.37,4.94,20.35
scircuit,8.78,7.25,1.18
ship_001,29.49,13.4,46.1
shipsec1,19.65,11.4,34.25
sme3Dc,1302.04,1243.73,26.59
smt,36.51,19.1,40.88
soc-LiveJournal1,,0.79,
soc-Pokec,,0.86,
ss,66.74,0.84,69.92
stokes,1842.34,0.97,
sx-stackoverflow,,0.78,
t3dh,27.83,0.9,20.81
t3dh_a,26.81,0.9,20.81
t3dh_e,26.9,0.91,20.83
test1,1044.5,851.5,66.46
thread,36.22,14.67,49.15
torso1,175.35,46.75,
troll,30.27,16.5,52.58
tsyl201,19.34,7.9,19.66
uk-2002,,0.98,
vas_stokes_1M,316.92,297.53,117.76
vas_stokes_2M,511.3,0.78,208.32
vas_stokes_4M,938.61,0.77,
vsp_bcsstk30_500sep_10in_1Kout,5073.22,4259.36,26.76
vsp_msc10848_300sep_100in_1Kout,1013.78,953.52,28.7
wb-edu,211.49,0.94,
webbase-1M,39.31,17.56,9.98
wiki-topcats,,0.85,
wikipedia-20051105,,0.84,
wikipedia-20060925,,0.85,
wikipedia-20061104,,0.86,
wikipedia-20070206,,0.85,
x104,35.94,15.06,54.47
